ticker,method,regime,liq_mln,vol_pct,n_fires,n_bull,n_bear,mean_bull,mean_bear,win_rate,d,role
92N6,FRACTAL,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,FRACTAL,low_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,FRACTAL,stress,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ENTROPY,ALL,0.0776,0.0000,6,6,0,,,,,n/a
92N6,ENTROPY,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ENTROPY,trending_down,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ENTROPY,ranging,0.0776,0.0000,2,2,0,,,,,n/a
92N6,ENTROPY,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ENTROPY,low_vol,0.0776,0.0000,4,4,0,,,,,n/a
92N6,ENTROPY,stress,0.0776,0.0000,0,0,0,,,,,n/a
92N6,FISHER_RSI,ALL,0.0776,0.0000,3,2,1,,,,,n/a
92N6,FISHER_RSI,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,FISHER_RSI,trending_down,0.0776,0.0000,1,1,0,,,,,n/a
92N6,FISHER_RSI,ranging,0.0776,0.0000,2,1,1,,,,,n/a
92N6,FISHER_RSI,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,FISHER_RSI,low_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,FISHER_RSI,stress,0.0776,0.0000,0,0,0,,,,,n/a
92N6,KLINGER,ALL,0.0776,0.0000,13,9,4,-5.607992569060668,-2.774360555564791,0.3076923076923077,-0.5235271599309445,anti
92N6,KLINGER,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,KLINGER,trending_down,0.0776,0.0000,2,2,0,,,,,n/a
92N6,KLINGER,ranging,0.0776,0.0000,3,1,2,,,,,n/a
92N6,KLINGER,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,KLINGER,low_vol,0.0776,0.0000,6,6,0,,,,,n/a
92N6,KLINGER,stress,0.0776,0.0000,2,0,2,,,,,n/a
92N6,VZO,ALL,0.0776,0.0000,16,1,15,,,,,n/a
92N6,VZO,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,VZO,trending_down,0.0776,0.0000,3,0,3,,,,,n/a
92N6,VZO,ranging,0.0776,0.0000,5,1,4,,,,,n/a
92N6,VZO,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,VZO,low_vol,0.0776,0.0000,6,0,6,,,,,n/a
92N6,VZO,stress,0.0776,0.0000,2,0,2,,,,,n/a
92N6,DONCHIAN,ALL,0.0776,0.0000,9,6,3,-4.371613397679816,-2.1632773356911286,0.2222222222222222,-0.41703570908781534,anti
92N6,DONCHIAN,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,DONCHIAN,trending_down,0.0776,0.0000,3,3,0,,,,,n/a
92N6,DONCHIAN,ranging,0.0776,0.0000,1,1,0,,,,,n/a
92N6,DONCHIAN,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,DONCHIAN,low_vol,0.0776,0.0000,4,1,3,,,,,n/a
92N6,DONCHIAN,stress,0.0776,0.0000,1,1,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,ALL,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,trending_down,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,ranging,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,low_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ADX_DI_CONVERGENCE,stress,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,ALL,0.0776,0.0000,1,0,1,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,trending_down,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,ranging,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,low_vol,0.0776,0.0000,1,0,1,,,,,n/a
92N6,ULT_OSC_DISAGREEMENT,stress,0.0776,0.0000,0,0,0,,,,,n/a
92N6,TWIGGS,ALL,0.0776,0.0000,12,2,10,-1.026521918372956,-7.184039042686287,0.9166666666666666,1.7919100955305727,signal
92N6,TWIGGS,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,TWIGGS,trending_down,0.0776,0.0000,1,0,1,,,,,n/a
92N6,TWIGGS,ranging,0.0776,0.0000,4,1,3,,,,,n/a
92N6,TWIGGS,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,TWIGGS,low_vol,0.0776,0.0000,5,0,5,,,,,n/a
92N6,TWIGGS,stress,0.0776,0.0000,2,1,1,,,,,n/a
92N6,RMI,ALL,0.0776,0.0000,13,8,5,-4.766136109981964,-4.491636269822445,0.46153846153846156,-0.04934476067939287,noise
92N6,RMI,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,RMI,trending_down,0.0776,0.0000,1,0,1,,,,,n/a
92N6,RMI,ranging,0.0776,0.0000,4,3,1,,,,,n/a
92N6,RMI,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,RMI,low_vol,0.0776,0.0000,6,4,2,-5.185211038205593,-8.087804516296488,0.5,0.3902036084119386,signal
92N6,RMI,stress,0.0776,0.0000,2,1,1,,,,,n/a
92N6,ZSCORE,ALL,0.0776,0.0000,6,4,2,-0.07736403272569681,-4.866328006229375,0.6666666666666666,1.0119134066282598,signal
92N6,ZSCORE,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ZSCORE,trending_down,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ZSCORE,ranging,0.0776,0.0000,2,1,1,,,,,n/a
92N6,ZSCORE,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ZSCORE,low_vol,0.0776,0.0000,2,1,1,,,,,n/a
92N6,ZSCORE,stress,0.0776,0.0000,2,2,0,,,,,n/a
92N6,ZLEMA_SIGNAL,ALL,0.0776,0.0000,8,3,5,-6.311666797842716,-1.0777336961976145,0.375,-1.0535084846832465,anti
92N6,ZLEMA_SIGNAL,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ZLEMA_SIGNAL,trending_down,0.0776,0.0000,2,2,0,,,,,n/a
92N6,ZLEMA_SIGNAL,ranging,0.0776,0.0000,3,1,2,,,,,n/a
92N6,ZLEMA_SIGNAL,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,ZLEMA_SIGNAL,low_vol,0.0776,0.0000,1,0,1,,,,,n/a
92N6,ZLEMA_SIGNAL,stress,0.0776,0.0000,2,0,2,,,,,n/a
92N6,T3_SIGNAL,ALL,0.0776,0.0000,7,2,5,-8.414868617816706,-1.0777336961976145,0.42857142857142855,-1.488099059155097,anti
92N6,T3_SIGNAL,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,T3_SIGNAL,trending_down,0.0776,0.0000,2,2,0,,,,,n/a
92N6,T3_SIGNAL,ranging,0.0776,0.0000,2,0,2,,,,,n/a
92N6,T3_SIGNAL,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,T3_SIGNAL,low_vol,0.0776,0.0000,1,0,1,,,,,n/a
92N6,T3_SIGNAL,stress,0.0776,0.0000,2,0,2,,,,,n/a
92N6,SINEWAVE_SIGNAL,ALL,0.0776,0.0000,14,8,6,-6.822530199727271,-2.713575549347858,0.21428571428571427,-0.8554280923860221,anti
92N6,SINEWAVE_SIGNAL,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
92N6,SINEWAVE_SIGNAL,trending_down,0.0776,0.0000,3,1,2,,,,,n/a
92N6,SINEWAVE_SIGNAL,ranging,0.0776,0.0000,5,3,2,-3.6086038314406608,-7.667600445143712,0.4,1.9395068428584705,signal
92N6,SINEWAVE_SIGNAL,high_vol,0.0776,0.0000,0,0,0,,,,,n/a
92N6,SINEWAVE_SIGNAL,low_vol,0.0776,0.0000,5,4,1,,,,,n/a
92N6,SINEWAVE_SIGNAL,stress,0.0776,0.0000,1,0,1,,,,,n/a
92N6,SSA_SIGNAL,ALL,0.0776,0.0000,6,6,0,,,,,n/a
92N6,SSA_SIGNAL,trending_up,0.0776,0.0000,0,0,0,,,,,n/a
